"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"3452",17766,3452,105,"DRT Strategies","drt-strategies","Virginia","VA","Arlington","Washington DC",96,21843842,"Government Services",5
"3453",26082,3453,19,"Bell Media","bell-media","Alabama","AL","Montgomery","Montgomery AL",96,3012000,"Media",1
"3454",1110,3454,600,"WeLocalize","welocalize","Maryland","MD","Frederick","Washington DC",96,118337051,"Business Products & Services",10
"3455",42,3455,40,"Nutricap Labs","nutricap-labs","New York","NY","Farmingdale","New York City",96,32237403,"Health",6
"3456",25379,3456,12,"OSD Displays","osd-displays","Florida","FL","Orlando","Orlando FL",96,17034190,"Manufacturing",1
"3457",20368,3457,95,"Outsell","outsell","Minnesota","MN","Minneapolis","Minneapolis",96,15863944,"Software",4
"3458",25335,3458,11,"NetLogix","netlogix","Massachusetts","MA","Westfield","Springfield MA",96,2041521,"IT Services",1
"3459",21981,3459,270,"Orasi Software","orasi-software","Georgia","GA","Kennesaw","Atlanta",96,70148434,"Software",3
"3460",3673,3460,427,"HireStrategy","hirestrategy","Virginia","VA","Reston","Washington DC",96,28590237,"Human Resources",7
"3461",22337,3461,15,"RDS Solutions","rds-solutions","New Jersey","NJ","Clinton","New York City",96,3969000,"Telecommunications",3
"3462",22149,3462,69,"Artur Express","artur-express","Missouri","MO","St. Louis","St. Louis MO-IL",96,80437552,"Logistics & Transportation",3
"3463",25801,3463,16,"CQ Fluency","cq-fluency","New Jersey","NJ","Hackensack","New York City",96,4661593,"Business Products & Services",1
"3464",23798,3464,23,"SYNERGY HomeCare","synergy-homecare","Arizona","AZ","Gilbert","Phoenix",96,75932963,"Health",2
"3465",20194,3465,158,"RVM","rvm","New York","NY","New York","New York City",96,27139044,"Business Products & Services",4
"3466",1511,3466,397,"W2O Group","w2o-group","California","CA","San Francisco","San Francisco",96,89099333,"Advertising & Marketing",6
"3467",26147,3467,157,"SyllogisTeks","syllogisteks","Missouri","MO","Chesterfield","St. Louis MO-IL",96,19583361,"IT Services",1
"3468",17768,3468,1350,"Power Home Remodeling Group","power-home-remodeling-group","Pennsylvania","PA","Chester","Philadelphia",96,242582000,"Construction",5
"3469",25644,3469,117,"Cox Manufacturing","cox-manufacturing","Texas","TX","San Antonio","San Antonio TX",96,13169676,"Manufacturing",1
"3470",17921,3470,30,"Intueor Consulting","intueor-consulting","California","CA","Irvine","Los Angeles",96,7965080,"Government Services",5
"3471",7127,3471,387,"Metasys Technologies","metasys-technologies","Georgia","GA","Duluth","Atlanta",95,30434345,"Human Resources",5
"3472",26207,3472,88,"Pinnacle Promotions","pinnacle-promotions","Georgia","GA","Norcross","Atlanta",95,24480506,"Advertising & Marketing",1
"3473",26192,3473,6,"Component Supply","component-supply","Kentucky","KY","Louisville","Louisville/Jefferson KY-IN",95,2167796,"Logistics & Transportation",1
"3474",25351,3474,30,"AcrobatAnt","acrobatant","Oklahoma","OK","Tulsa","Tulsa OK",95,6814259,"Advertising & Marketing",1
"3475",26362,3475,40,"R & D Industries","r-d-industries","Iowa","IA","Milford","Spencer IA",95,4607737,"IT Services",1
"3476",19614,3476,75,"ITS Partners","its-partners","Michigan","MI","Grand Rapids","Grand Rapids-Wyoming MI",95,26152426,"IT Services",4
